actual_rating,predicted_rating,residual
6.48,6.4841137,-0.004113693237304261
7.11,7.1201243,-0.010124340057372727
9.07,8.378732,0.6912682723999026
6.59,6.182045,0.4079550170898436
4.78,5.1474614,-0.36746141433715795
7.55,6.699906,0.8500941276550291
6.06,6.353384,-0.29338401794433633
7.41,7.2541456,0.15585437774658217
5.41,5.698203,-0.2882030868530272
6.15,6.2749863,-0.1249862670898434
6.99,6.8874745,0.10252546310424826
5.88,5.57209,0.30790985107421864
6.78,7.047166,-0.26716587066650366
7.78,7.671366,0.10863378524780298
7.1,6.884789,0.2152110099792477
6.29,6.50022,-0.2102198219299316
7.18,6.5846252,0.5953747558593747
6.52,6.1632156,0.3567843627929683
7.15,7.015367,0.13463296890258825
7.41,7.3803806,0.02961936950683608
7.4,7.1125836,0.2874163627624515
5.4,5.8893886,-0.48938856124877894
6.54,6.7163363,-0.17633625030517575
5.78,6.1179667,-0.33796665191650366
7.52,6.8193665,0.7006335449218746
6.47,6.9026933,-0.43269327163696314
7.38,7.331036,0.048963909149169815
6.7,7.0040855,-0.3040855407714842
6.79,6.09993,0.6900701904296875
5.91,5.7497787,0.1602212524414064
6.33,6.624541,-0.2945408058166503
6.82,6.3974953,0.42250473022460966
6.16,6.3303947,-0.17039474487304673
6.14,6.3410063,-0.20100627899169954
7.97,7.498228,0.47177192687988256
8.03,7.4702315,0.5597684669494623
4.99,5.1267567,-0.1367566680908201
6.76,6.7536516,0.006348381042480256
7.28,6.721956,0.5580442237854006
5.36,5.140205,0.21979509353637727
6.73,7.2596307,-0.5296306800842281
6.11,5.754801,0.35519920349121126
5.52,5.6514945,-0.13149450302124066
5.78,5.8628726,-0.08287260055541967
7.56,7.782348,-0.2223481559753422
4.58,5.000698,-0.4206980895996093
5.53,6.043388,-0.5133878898620603
6.78,6.703291,0.07670906066894556
7.25,7.1660857,0.08391427993774414
7.83,7.8742056,-0.04420558929443352
5.94,5.8223424,0.11765760421752969
6.14,6.1693106,-0.029310569763183913
7.29,7.1491833,0.14081672668457035
8.59,7.9159245,0.6740754508972167
7.79,7.709187,0.08081296920776371
6.93,6.8130507,0.1169492530822751
7.15,6.487532,0.6624678611755375
4.84,5.337937,-0.49793687820434585
6.19,6.0180707,0.17192930221557656
6.18,6.1652985,0.014701538085937216
6.62,6.4249163,0.19508373260498058
7.62,7.4478083,0.17219173431396495
5.95,5.66238,0.2876197814941408
5.47,6.42037,-0.9503701019287112
5.34,5.2177167,0.12228330612182603
6.93,7.0817523,-0.15175230026245146
